Numero_Requerimento;Rito_Requerimento;Numero_Processo;Data_requerimento;Data_Registro;Data_Encerramento;Status_Requerimento;Valor_Mobiliario;Tipo_requerimento;Bookbuilding;CNPJ_Emissor;Nome_Emissor;CNPJ_Lider;Nome_Lider;Grupo_Coordenador;Tipo_Oferta;Emissao;Qtde_Total_Registrada;Valor_Total_Registrado;Oferta_inicial;Oferta_vasos_comunicantes;Publico_alvo;Reabertura_serie;Titulo_classificado_como_sustentavel;Titulo_padronizado;Destinacao_recursos;Data_deliberacao_aprovou_oferta;Mercado_negociacao;Tipo_lastro;Regime_fiduciario;Ativos_alvo;Descricao_garantias;Descricao_lastro;Identificacao_devedores_coobrigados;Possibilidade_revolvencia;FIDC_nao_padronizado;Titulo_incentivado;Regime_distribuicao;Tipo_societario;Administrador;Gestor;Agente_fiduciario;Escriturador;Custodiante;Avaliador_Risco;Processo_SEI;Endereco_emissor_rede_mundial_computadores;Num_Invest_Pessoa_Natural;Qtde_VM_Pessoa_Natural;Num_Invest_Clube_Investimento;Qtde_VM_Clube_Investimento;Num_Invest_Fundos_Investimento;Qtde_VM_Fundos_Investimento;Num_Invest_Entidade_Previdencia_Privada;Qtde_VM_Entidade_Previdencia_Privada;Num_Invest_Companhia_Seguradora;Qtde_VM_Companhia_Seguradora;Num_Invest_Investidor_Estrangeiro;Qtde_VM_Investidor_Estrangeiro;Num_Invest_Instit_Intermed_Partic_Consorcio_Distrib;Qtde_VM_Instit_Intermed_Partic_Consorcio_Distrib;Num_Invest_Instit_Financ_Emissora_Partic_Consorcio;Qtde_VM_Instit_Financ_Emissora_Partic_Consorcio;Num_Invest_Demais_Instit_Financ;Qtde_VM_Demais_Instit_Financ;Num_Invest_Demais_Pessoa_Juridica_Emissora_Partic_Consorcio;Qtde_VM_Demais_Pessoa_Juridica_Emissora_Partic_Consorcio;Num_Invest_Demais_Pessoa_Juridica;Qtde_VM_Demais_Pessoa_Juridica;Num_Invest_Soc_Adm_Emp_Prop_Demais_Pess_Jurid_Emiss_Partic_Consorcio;Qdte_VM_Soc_Adm_Emp_Prop_Demais_Pess_Jurid_Emiss_Partic_Consorcio
4260;Automático;SRE/0066/2024;2024-01-08;2024-01-23;2024-01-29;Oferta Encerrada;Debêntures;OPD Aut Público em Geral ou Qualificado - com bookbuilding;S;12.091.809/0001-55;3R PETROLEUM OLÉO E GÁS S.A.;46.482.072/0001-13;BTG PACTUAL INVESTMENT BANKING LTDA.;COORDENADOR PLENO;SECUNDARIA;3;347604;372798337.92;;;Qualificado;N;N;N;Tendo em vista que a Oferta Secundária é uma distribuição pública secundária de Debêntures da Oferta Secundária detidas pelos Debenturistas Vendedores, a Companhia não receberá quaisquer recursos em decorrência da realização da Oferta Secundária;10/10/2023;secundário;;;;;;;;;S;Melhores Esforços;;;;Vórtx Distribuidora de Títulos e Valores Mobiliários Ltda.;Vórtx Distribuidora de Títulos e Valores Mobiliários Ltda.;;;;;5017;257025;0;0;8;84000;0;0;0;0;0;0;1;126;0;0;0;0;0;0;62;6453;0;0
4289;Automático;SRE/0085/2024;2024-01-08;2024-01-08;2024-01-15;Oferta Encerrada;Debêntures;OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado;N;60.855.574/0001-73;Açucareira Quatá S.A.;17.298.092/0001-30;BANCO ITAU BBA  S.A.;COORDENADOR PLENO;PRIMARIA;4;300000;300000000.0;;;Profissional;;N;;projeto amparado pela lei 12.431, destinado à manutenção de produção de cana de açúcar;15/12/2023;Mercado secundário B3. S.A. Brasil, Bolsa, Balcão - Balcão B3;;;;;;;;;S;Garantia Firme de Colocação;SA capital fechado;;;PENTÁGONO S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS;Itaú Corretora de Valores S.A.;;;;https://www.zilor.com.br/relacoes-com-investidores/governanca-corporativa/comunicados-e-fatos-relevantes/;0;0;0;0;1;300000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4297;Automático;SRE/0101/2024;2024-01-10;2024-01-18;2024-01-19;Oferta Encerrada;Debêntures;OPD Aut Profissional - com bookbuilding - Emissor Não Registrado;S;33.268.331/0001-66;EÓLICA DO AGRESTE POTIGUAR I S.A.;17.298.092/0001-30;BANCO ITAU BBA  S.A.;COORDENADOR PLENO;PRIMARIA;1;25000;25000000.0;;;Profissional;;N;;Os Recursos Líquidos captados pela Emissora por meio da integralização das Debêntures serão utilizados para reembolso de gastos, despesas ou dívidas, incorridos no período de 24 (vinte e quatro) meses que antecedem a data de encerramento da Oferta, ao Projeto, observado o previsto no artigo 1º, parágrafo 1ºC, da Lei 12.431. O Projeto visa implantar e explorar a Central Geradora Eólica denominada AW São João, com 25.200 kW de capacidade instalada, constituída por 6 (seis) unidades geradoras e sistema de transmissão de interesse restrito.;09/01/2024;Negociação no mercado secundário por meio do CETIP21, administrado e operacionalizado pela B3 S.A., sendo as negociações liquidadas financeiramente e as Debêntures custodiadas eletronicamente na B3;;;;;;;;;S;Garantia Firme de Colocação;SA capital fechado;;;Vórtx Distribuidora de Títulos e Valores Mobiliários Ltda.;Vórtx Distribuidora de Títulos e Valores Mobiliários Ltda.;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;25000;0;0;0;0;0;0;0;0
4298;Automático;SRE/0102/2024;2024-01-10;2024-01-18;2024-01-19;Oferta Encerrada;Debêntures;OPD Aut Profissional - com bookbuilding - Emissor Não Registrado;S;33.268.312/0001-30;EÓLICA DO AGRESTE POTIGUAR II S.A.;17.298.092/0001-30;BANCO ITAU BBA  S.A.;COORDENADOR PLENO;PRIMARIA;1;55000;55000000.0;;;Profissional;;N;;"Os Recursos Líquidos captados pela Emissora por meio da integralização das Debêntures serão utilizados para reembolso de gastos, despesas ou dívidas, incorridos no período de 24 (vinte e quatro) meses que antecedem a data de encerramento da Oferta, ao Projeto, observado o previsto no artigo 1º, parágrafo 1ºC, da Lei 12.431. O Projeto visa implantar e explorar a Central Geradora Eólica denominada AW Santa Régia, com 37.800 kW de capacidade instalada, constituída por 9 (nove) unidades geradoras e sistema de transmissão de interesse restrito (""Projeto"").";09/01/2024;Negociação no mercado secundário por meio do CETIP21, administrado e operacionalizado pela B3, sendo as negociações liquidadas financeiramente e as Debêntures custodiadas eletronicamente na B3.;;;;;;;;;S;Garantia Firme de Colocação;SA capital fechado;;;VÓRTX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;VÓRTX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;;;;;0;0;0;0;0;0;0;0;0;0;0;0;1;55000;0;0;0;0;0;0;0;0;0;0
4346;Automático;SRE/0143/2024;2024-01-16;;;Requerimento Expirado;Debêntures;OPD Aut Público em Geral ou Qualificado - com bookbuilding;S;45.456.117/0001-12;ÁGUAS DO SERTAO S.A.;46.482.072/0001-13;BTG PACTUAL INVESTMENT BANKING LTDA.;COORDENADOR PLENO;PRIMARIA;2;0;0.0;;;Qualificado;N;S;N;(i) o pré-pagamento parcial da 1ª (primeira) emissão de debêntures simples da Águas do Sertão em consonância com o disposto a Lei 12.431 e (ii) a realização de investimentos futuros em obras civis, bem como de aquisição e melhorias e equipamentos necessários para o cumprimento das obrigações dispostas no Contrato de Concessão.;16/01/2024;b3;;;;;;;;;S;Garantia Firme de Colocação;;;;OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4347;Automático;SRE/0140/2024;2024-01-16;2024-01-23;2024-01-26;Oferta Encerrada;Debêntures;OPD Aut Profissional - com bookbuilding - Emissor Não Registrado;S;71.304.687/0001-05;Pedra Agroindustrial S.A.;17.298.092/0001-30;BANCO ITAU BBA  S.A.;COORDENADOR PLENO;PRIMARIA;2;590000;590000000.0;;;Profissional;;N;;projeto prioritário sob a lei 12.431;22/12/2023;mercado secundário na B3 S.A. - Brasil, Bolsa, Balcão;;;;;;;;;S;Garantia Firme de Colocação;SA capital fechado;;;OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;Itaú Corretora de Valores S.A.;;;;;9;4550;0;0;4;211250;0;0;0;0;0;0;1;194200;1;180000;0;0;0;0;0;0;0;0
4369;Automático;SRE/0161/2024;2024-01-18;2024-01-18;2024-01-29;Oferta Encerrada;Debêntures;OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado;N;13.642.699/0001-35;Agro Indústrias do Vale do São Francisco S.A. - Agrovale;15.114.366/0001-69;BANCO BOCOM BBM S.A.;COORDENADOR PLENO;PRIMARIA;3;100000;100000000.0;;;Profissional;;N;;Os recursos líquidos obtidos pela Emissora com a Emissão serão destinados para o pagamento futuro e reembolso relacionado aos investimentos nos termos do projeto de Portaria MME nº 115/SNPGG/MME, de 21 de dezembro de 2023;24/11/2023;Negociação no mercado secundário por meio do CETIP21 - Títulos e Valores Mobiliários, administrado e operacionalizado pela B3;;;;;;;;;S;Garantia Firme de Colocação;SA capital fechado;;;VÓRTX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;VÓRTX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;;;;www.agrovale.com;0;0;0;0;0;0;0;0;0;0;0;0;1;100000;0;0;0;0;0;0;0;0;0;0
4376;Automático;SRE/0173/2024;2024-01-22;2024-02-07;2024-02-14;Oferta Encerrada;Debêntures;OPD Aut Profissional - com bookbuilding;S;09.325.109/0001-73;AUTOPISTA PLANALTO SUL SA;02.819.125/0001-73;UBS BRASIL CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS S.A.;COORDENADOR PLENO;PRIMARIA;12;650000;650000000.0;;;Profissional;N;N;N;(I) Primeira Série.: reembolso de gastos, despesas e na realização de investimentos futuros no Projeto (II) Segunda Série: (A) recompra ou liquidação antecipada dos Contratos Financeiros Existentes  e de dívidas intercompany representadas por debêntures de emissão privada  e (B) o atendimento de propósitos corporativos gerais, incluindo liability management pela Emissora;19/01/2024;CETIP21;;;;;;;;;S;Garantia Firme de Colocação;;;;PENTÁGONO S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS;Itaú Corretora de Valores S.A.;;Standard & Poor's Ratings do Brasil Ltda.;;;5;1092;0;0;187;620914;0;0;0;0;0;0;0;0;0;0;2;27994;0;0;0;0;0;0
4378;Automático;SRE/0167/2024;2024-01-19;2024-01-30;2024-02-01;Oferta Encerrada;Debêntures;OPD Aut Profissional - com bookbuilding - Emissor Não Registrado;S;42.165.941/0001-25;POTENGI HOLDINGS S.A.;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;COORDENADOR PLENO;PRIMARIA;1;300000;300000000.0;;;Profissional;;N;;Reembolso de gastos ou despesas dos Projetos que ocorreram em prazo igual ou inferior a 24 (vinte e quatro) meses anteriores à data de encerramento da Oferta e na realização de investimentos futuros relacionados à implantação dos Projetos, nos termos da Lei 12.431.;21/12/2023;B3 S.A. - Brasil, Bolsa, Balcão - Balcão B3;;;;;;;;;S;Garantia Firme de Colocação;SA capital fechado;;;Oliveira Trust Distribuidora de Títulos e Valores Mobiliários S.A.;Oliveira Trust Distribuidora de Títulos e Valores Mobiliários S.A.;;Fitch Ratings Brasil Ltda.;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;300000;0;0;0;0;0;0;0;0
4467;Automático;SRE/0248/2024;2024-01-30;2024-03-05;2024-03-13;Oferta Encerrada;Debêntures;OPD Aut Qualificado - com bookbuilding  - Emissor Não Registrado;S;23.758.522/0001-52;CELSE - CENTRAIS ELÉTRICAS DE SERGIPE S.A>;17.298.092/0001-30;BANCO ITAU BBA  S.A.;COORDENADOR PLENO;SECUNDARIA;2;510000;572704500.0;;;Qualificado;;N;;Tendo em vista que a Oferta Secundária é uma distribuição pública secundária de Debêntures da Oferta Secundária detidas pelos Debenturistas Vendedores, a Companhia não receberá quaisquer recursos em decorrência da realização da Oferta Secundária. Os Debenturistas Vendedores receberão integralmente os recursos líquidos resultantes da venda das Debêntures da Oferta Secundária no âmbito da Oferta Secundária.;21/09/2023;CETIP21 - Títulos e Valores Mobiliários;;;;;;;;;S;Melhores Esforços;SA capital fechado;;;Pentágono S.A. Distribuidora de Títulos e Valores Mobiliários;Itaú Unibanco;;Standard & Poor's Ratings do Brasil Ltda;;https://ri.eneva.com.br/informacoes-ao-mercado/documentos-celse/;6118;107771;0;0;105;321737;0;0;0;0;0;0;0;0;0;0;4;80492;0;0;0;0;0;0
4476;Automático;SRE/0254/2024;2024-01-30;2024-01-30;2024-02-07;Oferta Encerrada;Debêntures;OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado;N;08.110.543/0001-73;DA MATA S.A. - AÇÚCAR E ÁLCOOL;17.298.092/0001-30;BANCO ITAU BBA  S.A.;COORDENADOR PLENO;PRIMARIA;1;299000;299000000.0;;;Profissional;;N;;Os recursos líquidos obtidos pela Companhia com a Emissão serão integral, única e exclusivamente, destinados ao Projeto de Investimento, considerado prioritário nos termos do artigo 2º da Lei 12.431, do Decreto 8.874 e da Portaria;03/01/2024;As Debêntures serão depositadas para distribuição no mercado primário por meio do MDA, sendo a distribuição liquidada financeiramente por meio da B3;;;;;;;;;S;Garantia Firme de Colocação;SA capital fechado;;;PENTÁGONO S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS;Itaú Corretora de Valores S.A.;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;299000;0;0;0;0;0;0;0;0
14521;Automático;SRE/0302/2024;2024-02-01;2024-02-06;2024-02-08;Oferta Encerrada;Debêntures;OPD Aut Profissional - com bookbuilding;S;15.413.826/0001-50;ENERGISA MATO GROSSO DO SUL - DIST DE ENERGIA S.A.;17.298.092/0001-30;BANCO ITAU BBA  S.A.;COORDENADOR PLENO;PRIMARIA;21;400000;400000000.0;;;Profissional;N;N;S;Financiamento futuro do projeto de investimento em infraestrutura de distribuição de energia elétrica, de titularidade da emissora;01/02/2024;"negociação no mercado secundário, por meio do CETIP21 - Títulos e Valores Mobiliários (""CETIP21"")";;;;;;;;;S;Garantia Firme de Colocação;;;;PENTÁGONO S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS;Itaú Corretora de Valores S.A.;;Fitch Ratings;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;400000;0;0;0;0;0;0;0;0
14522;Automático;SRE/0301/2024;2024-02-01;2024-02-06;2024-02-08;Oferta Encerrada;Debêntures;OPD Aut Profissional - com bookbuilding;S;03.467.321/0001-99;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;17.298.092/0001-30;BANCO ITAU BBA  S.A.;COORDENADOR PLENO;PRIMARIA;17;400000;400000000.0;;;Profissional;N;N;S;Financiamento futuro do projeto de investimento em infraestrutura de distribuição de energia elétrica, de titularidade da emissora;01/02/2024;"CETIP21 - Títulos e Valores Mobiliários (""CETIP21"")";;;;;;;;;S;Garantia Firme de Colocação;;;;PENTÁGONO S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS;Itaú Corretora de Valores S.A.;;Fitch Ratings;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;400000;0;0;0;0;0;0;0;0
14555;Automático;SRE/0330/2024;2024-02-06;2024-02-09;2024-02-16;Oferta Encerrada;Debêntures;OPD Aut Profissional - com bookbuilding;S;45.456.117/0001-12;ÁGUAS DO SERTAO S.A.;46.482.072/0001-13;BTG PACTUAL INVESTMENT BANKING LTDA.;COORDENADOR PLENO;PRIMARIA;2;1100000;1100000000.0;;;Profissional;N;S;N;Os recursos serão destinados nos termos do artigo 2°, parágrafo 1°, da Lei 12.431, do Decreto 8.874 e da Resolução CMN 5.034, os recursos líquidos captados pela Emissora por meio das Debêntures serão utilizados exclusivamente conforme o disposto na Escritura de Emissão.;16/02/2024;b3;;;;;;;;;S;Garantia Firme de Colocação;;;;Oliveira Trust Distribuidora de Títulos e Valores Mobiliários S.A.;Oliveira Trust Distribuidora de Títulos e Valores Mobiliários S.A.;;;;;4;1500;0;0;193;704;0;0;0;0;0;0;1;98875;2;295625;0;0;0;0;0;0;0;0
14585;Automático;SRE/0364/2024;2024-02-09;2024-03-13;2024-03-18;Oferta Encerrada;Debêntures;OPD Aut Público em Geral ou Qualificado - com bookbuilding;S;06.981.180/0001-16;CEMIG DISTRIBUIÇÃO S/A;59.588.111/0001-03;BANCO VOTORANTIM S.A.;COORDENADOR PLENO;PRIMARIA;10;2000000;2000000000.0;;S;Qualificado;N;S;S;"1ª série: recomposição de caixa da Emissora e reembolso de investimentos por ela realizados, para fins de qualificação das Debêntures como ""Debêntures Sustentáveis . 2ª Série: Nos termos do art. 2º da Lei 12.431, do Decreto 8.874, da Resolução CMN 5.034 e da Portaria do MME, os recursos líquidos captados pela Emissora serão alocados no reembolso de gastos e/ou despesas ao projeto de infraestrutura de distribuição de energia elétrica que ocorreram no período entre abril e dezembro de 2022. O projeto está alinhado para fins de qualificação das Debêntures como ""Debêntures Sustentáveis"".";06/02/2024;Mercado secundário - B3 S.A. Brasil, Bolsa, Balcão - Balcão B3;;;;;;;;;S;Garantia Firme de Colocação;;;;Pentágono S.A. Distribuidora de Títulos e Valores Mobiliários;Itaú Corretora de Valores S.A.;;Fitch Rating's Brasil LTDA;;https://ri.cemig.com.br/;3338;540718;0;0;221;1190991;1;2000;3;17278;0;0;0;0;1;50638;7;188174;0;0;14;10200;1;1
14608;Automático;SRE/0381/2024;2024-02-06;2024-02-06;2024-02-23;Oferta Encerrada;Debêntures;OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado;N;07.280.328/0001-58;Ipiranga Agroindustrial S.A.;58.160.789/0001-28;BANCO SAFRA S/A;COORDENADOR PLENO;PRIMARIA;5;270000;270000000.0;;;Profissional;;N;;"Nos termos do artigo 2°, parágrafo 1°, da Lei 12.431, bem como do Decreto 8.874, da Portaria 252, e da Portaria, os recursos captados pela Emissora por meio da Emissão serão utilizados exclusivamente para pagamento de gastos, despesas ou dívidas relacionadas à implantação de projeto de Manutenção da produção de biomassa (cana-de-açúcar) relativa à safra 2022/2023, destinada à produção de etanol das unidades de Iacanga e Mococa (""Projeto"").";29/01/2024;B3;;;;;;;;;S;Garantia Firme de Colocação;SA capital fechado;;;OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;;;https://www.ipirangaagroindustrial.com.br/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;170000;0;0;1;100000;0;0;0;0
14643;Automático;SRE/0414/2024;2024-02-19;2024-02-27;2024-02-29;Oferta Encerrada;Debêntures;OPD Aut Profissional - com bookbuilding;S;02.031.413/0001-69;PETRO RIO JAGUAR PETRÓLEO S.A.;17.298.092/0001-30;BANCO ITAU BBA  S.A.;COORDENADOR PLENO;PRIMARIA;2;2000000;2000000000.0;;;Profissional;N;N;N;O projeto faz parte do Plano de Investimentos no Desenvolvimento do Campo de Wahoo, conforme Plano de Desenvolvimento aprovado pela ANP por meio da Resolução de Diretoria Colegiada da ANP nº 240, de 25 de maio de 2023, para a atividade de desenvolvimento do campo através da perfuração de 4 poços produtores e 2 poços injetores interligação destes poços ao FPSO localizado no Campo de Frade e ajustes no FPSO para que fique apto a produzir, processar, armazenar e exportar óleo e gás no campo de Wahoo, dentre outras atividades;09/02/2024;"Negociação no mercado secundário por meio do CETIP21 - Títulos e Valores Mobiliários (""CETIP21""), administrado e operacionalizado pela B3, sendo as negociações liquidadas financeiramente e as Debêntures custodiadas eletronicamente na B3";;;;;;;;;S;Garantia Firme de Colocação;;;;PENTÁGONO S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS;ITAÚ CORRETORA DE VALORES S.A.;;Foi contratada como agência de classificação de risco da oferta a Fitch Ratings (AA+);;https://ri.prio3.com.br/?gad_source=1&gclid=EAIaIQobChMI8OvQtb63hAMVaVpIAB00hw9TEAAYASABEgKPdfD_BwE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2000000;0;0;0;0;0;0;0;0
14654;Automático;SRE/0416/2024;2024-02-19;2024-03-20;2024-03-25;Oferta Encerrada;Debêntures;OPD Aut Qualificado - com bookbuilding  - Emissor Não Registrado;S;42.288.184/0001-87;CONCESSIONÁRIA DAS LINHAS 8 E 9 DO SISTEMA DE TRENS METROPOLITANOS DE SÃO PAULO S.A.;90.400.888/0001-42;BANCO SANTANDER (BRASIL) S.A.;COORDENADOR PLENO;PRIMARIA;4;1250000;1250000000.0;;;Qualificado;;S;;"Os recursos obtidos pela Emissora por meio da Oferta serão destinados, nos termos do artigo 2º, parágrafo 1º, da Lei 12.431, do Decreto 8.874 e da Resolução CMN 5.034, exclusivamente para (i) o pagamento de despesas e gastos futuros e/ou (ii) o reembolso de despesas e/ou gastos incorridos em um período igual ou inferior a 24 (vinte e quatro) meses anteriores a data de encerramento da Oferta. Enquadramento do Projeto como projeto prioritário pelo Ministério do Desenvolvimento Regional (""MDR""), por meio da Portaria do MDR nº 1.835,expedida em 20 de junho de 2022.";08/02/2024;B3;;;;;;;;;S;Garantia Firme de Colocação;SA capital fechado;;;OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;Banco Bradesco S.A.;;"Os recursos obtidos pela Emissora por meio da Oferta serão destinados, nos termos do artigo 2º, parágrafo 1º, da Lei 12.431, do Decreto 8.874 e da Resolução CMN 5.034, exclusivamente para (i) o pagamento de despesas e gastos futuros e/ou (ii) o reembolso de despesas e/ou gastos incorridos em um período igual ou inferior a 24 (vinte e quatro) meses anteriores a data de encerramento da Oferta. Enquadramento do Projeto como projeto prioritário pelo Ministério do Desenvolvimento Regional (""MDR""), por meio da Portaria do MDR nº 1.835,expedida em 20 de junho de 2022.";;;734;67557;0;0;124;687814;0;0;0;0;0;0;1;89629;0;0;2;405000;0;0;0;0;0;0
14663;Automático;SRE/0471/2024;2024-02-23;2024-02-27;2024-02-29;Oferta Encerrada;Debêntures;OPD Aut Profissional - com bookbuilding - Emissor Não Registrado;S;04.149.295/0001-13;EDP TRADING COMERCIALIZAÇÃO E SERVIÇOS DE ENERGIA S.A.;17.298.092/0001-30;BANCO ITAU BBA  S.A.;COORDENADOR PLENO;PRIMARIA;1;575000;575000000.0;;;Profissional;;N;;Os recursos captados pela Emissora por meio da Emissão das Debêntures serão integralmente utilizados para o reembolso de gastos, despesas ou dívidas relacionadas ao Projeto que tenham ocorrido em prazo igual ou inferior a 24 (vinte e quatro) meses da data do encerramento da Oferta e/ou pagamento de despesas, dívidas e gastos futuros relacionados ao Projeto.;16/02/2024;CETIP21 - Títulos e Valores Mobiliários;;;;;;;;;S;Garantia Firme de Colocação;SA capital fechado;;;PENTÁGONO S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS;Itaú Corretora de Valores S.A.;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;575000;0;0;0;0;0;0;0;0
14667;Automático;SRE/0436/2024;2024-02-21;2024-04-02;2024-04-04;Oferta Encerrada;Debêntures;OPD Aut Público em Geral ou Qualificado - com bookbuilding;S;42.310.775/0001-03;ÁGUAS DO RIO 1 SPE S.A.;46.482.072/0001-13;BTG PACTUAL INVESTMENT BANKING LTDA.;COORDENADOR PLENO;PRIMARIA;4;1286994744;1286994744.0;;;Qualificado;N;S;N;Nos termos do artigo 2º, parágrafos 1º e 1º-B, da Lei nº 12.431, do Decreto nº 8.874, da Resolução CMN 4.751 e da Resolução CMN 5.034, os Recursos Líquidos (conforme abaixo definidos) captados pela SPE 1 por meio da Emissão da SPE 1 serão utilizados conforme disposto na Escritura de Emissão.;19/02/2024;B3;;;;;;;;;S;Garantia Firme de Colocação;;;;OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A;;;;;8527;336997648;0;0;334;385444030;0;0;0;0;0;0;0;0;7;544928790;4;15032000;0;0;71;4592276;0;0
14672;Automático;SRE/0437/2024;2024-02-21;2024-04-02;2024-04-04;Oferta Encerrada;Debêntures;OPD Aut Público em Geral ou Qualificado - com bookbuilding;S;42.644.220/0001-06;ÁGUAS DO RIO 4 SPE S.A.;46.482.072/0001-13;BTG PACTUAL INVESTMENT BANKING LTDA.;COORDENADOR PLENO;PRIMARIA;4;2137685256;2137685256.0;;;Qualificado;N;S;N;Nos termos do artigo 2º, parágrafos 1º e 1º-B, da Lei nº 12.431, do Decreto nº 8.874, da Resolução CMN 4.751 e da Resolução CMN 5.034, os Recursos Líquidos captados pela SPE 4 por meio da Emissão da SPE 4 serão utilizados conforme disposto na Escritura de Emissão.;19/02/2024;B3;;;;;;;;;S;Garantia Firme de Colocação;;;;OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;;;;8535;548493879;0;0;334;640237970;0;0;1;3120000;1;6242000;0;0;7;905121210;4;26842473;0;0;71;7627724;0;0
14673;Automático;SRE/0433/2024;2024-02-20;2024-02-23;2024-02-28;Oferta Encerrada;Debêntures;OPD Aut Profissional - com bookbuilding - Emissor Não Registrado;S;53.859.112/0001-69;COMPANHIA JAGUARI DE ENERGIA;17.298.092/0001-30;BANCO ITAU BBA  S.A.;COORDENADOR PLENO;PRIMARIA;4;181000;181000000.0;;;Profissional;;N;;"O pagamento futuro de gastos, despesas e/ou dívidas a serem incorridas a partir da data de integralização da Oferta e relacionados ao projeto descrito na Cláusula 3.2.2 abaixo (""Projeto de Investimento""), nos termos da Lei 12.431 e/ou (ii) reembolso de gastos, despesas e/ou dívidas relacionadas ao Projeto de Investimento ocorrido em prazo igual ou inferior a 24 (vinte e quatro) meses contados da divulgação do Anúncio de Encerramento.";14/02/2024;CETIP21 - Títulos e Valores Mobiliários;;;;;;;;;S;Garantia Firme de Colocação;SA capital fechado;;;PENTÁGONO S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS;Itaú Corretora de Valores S.A.;;n.a.;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;181000;0;0;0;0
